Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1901-01,-0.28059345,-0.43856356,-0.122623324
1901-02,-0.26819772,-0.42274347,-0.113651976
1901-03,-0.20081724,-0.36103362,-0.040600866
1901-04,-0.1753031,-0.35032505,-0.00028113974
1901-05,-0.24934465,-0.44425672,-0.05443258
1901-06,-0.23662645,-0.43364984,-0.039603047
1901-07,-0.3289457,-0.51798207,-0.13990928
1901-08,-0.2050631,-0.42178407,0.0116578685
1901-09,-0.35517338,-0.53581136,-0.1745354
1901-10,-0.3407429,-0.5152294,-0.16625641
1901-11,-0.39582872,-0.5590094,-0.23264809
1901-12,-0.48450628,-0.65788275,-0.3111298
1902-01,-0.43956748,-0.6000706,-0.27906436
1902-02,-0.23221202,-0.38552827,-0.078895785
1902-03,-0.47400042,-0.63162196,-0.31637895
1902-04,-0.4305058,-0.6007136,-0.260298
1902-05,-0.43023685,-0.6306319,-0.22984181
1902-06,-0.44518706,-0.6403324,-0.25004172
1902-07,-0.38915876,-0.56928974,-0.2090278
1902-08,-0.42510903,-0.63204134,-0.21817671
1902-09,-0.37280047,-0.5562161,-0.18938479
1902-10,-0.5005036,-0.67379946,-0.32720774
1902-11,-0.56261593,-0.72212607,-0.40310577
1902-12,-0.565914,-0.7425985,-0.38922948
1903-01,-0.4344225,-0.58624995,-0.282595
1903-02,-0.24027054,-0.38465306,-0.095888
1903-03,-0.39843398,-0.5441603,-0.25270766
1903-04,-0.58799607,-0.7538771,-0.42211506
1903-05,-0.5160877,-0.7040209,-0.3281545
1903-06,-0.5476815,-0.73070943,-0.3646535
1903-07,-0.5052094,-0.6767439,-0.33367482
1903-08,-0.60140806,-0.81704575,-0.3857704
1903-09,-0.55975336,-0.73646456,-0.38304216
1903-10,-0.66481555,-0.8263604,-0.50327075
1903-11,-0.62978834,-0.781631,-0.4779457
1903-12,-0.71404976,-0.8792802,-0.5488193
1904-01,-0.806605,-0.9617955,-0.6514145
1904-02,-0.769914,-0.92639124,-0.61343676
1904-03,-0.6964779,-0.8489669,-0.5439888
1904-04,-0.6468306,-0.81834394,-0.47531733
1904-05,-0.6093934,-0.7907733,-0.4280136
1904-06,-0.5641545,-0.7518275,-0.37648153
1904-07,-0.5530446,-0.72540253,-0.38068676
1904-08,-0.4784086,-0.68795663,-0.26886058
1904-09,-0.59661376,-0.78148705,-0.41174045
1904-10,-0.55304295,-0.72068864,-0.3853973
1904-11,-0.39660597,-0.5533854,-0.23982657
1904-12,-0.49964583,-0.6772394,-0.32205227
1905-01,-0.46341595,-0.6148158,-0.31201616
1905-02,-0.72016865,-0.8743835,-0.5659538
1905-03,-0.52405393,-0.6707999,-0.377308
1905-04,-0.5589943,-0.7221077,-0.3958809
1905-05,-0.43423653,-0.6155831,-0.25288996
1905-06,-0.34258264,-0.52910966,-0.15605558
1905-07,-0.37310305,-0.5452026,-0.20100348
1905-08,-0.30447677,-0.51597244,-0.09298106
1905-09,-0.34519514,-0.5172048,-0.17318553
1905-10,-0.3351493,-0.49376118,-0.17653738
1905-11,-0.21728525,-0.37075344,-0.06381706
1905-12,-0.27435452,-0.45295084,-0.09575821
