id,name,pH,temperature,volume
1,Sample_A,5.5,299.3,150
2,Sample_B,7.3,300.8,240
3,Sample_C,6.3,284.1,175
4,Sample_D,5.7,288.6,153
5,Sample_E,7.6,283.9,162
6,Sample_F,7.3,285.4,196
7,Sample_G,6.7,299.9,154
8,Sample_H,7.2,278.1,202
9,Sample_I,5.6,286.6,188
10,Sample_J,6.3,292.5,216
11,Sample_K,5.5,286.2,178
12,Sample_L,6.9,302.0,230
13,Sample_M,7.6,299.0,155
14,Sample_N,5.7,301.0,220
15,Sample_O,4.4,274.3,217
16,Sample_P,7.0,297.9,248
17,Sample_Q,4.2,285.0,179
18,Sample_R,4.9,298.0,181
19,Sample_S,5.6,299.8,227
20,Sample_T,7.0,287.3,164
