Time,Temperature
1901-01-01 00:00:00,27.76
1901-02-01 00:00:00,27.16
1901-03-01 00:00:00,25.6
1901-04-01 00:00:00,22.03
1901-05-01 00:00:00,18.02
1901-06-01 00:00:00,14.7
1901-07-01 00:00:00,13.94
1901-08-01 00:00:00,15.45
1901-09-01 00:00:00,19.35
1901-10-01 00:00:00,22.84
1901-11-01 00:00:00,26.06
1901-12-01 00:00:00,26.58
1902-01-01 00:00:00,27.96
1902-02-01 00:00:00,27.28
1902-03-01 00:00:00,25.75
1902-04-01 00:00:00,21.63
1902-05-01 00:00:00,17.39
1902-06-01 00:00:00,14.53
1902-07-01 00:00:00,13.5
1902-08-01 00:00:00,15.62
1902-09-01 00:00:00,18.7
1902-10-01 00:00:00,22.08
1902-11-01 00:00:00,24.99
1902-12-01 00:00:00,25.85
1903-01-01 00:00:00,26.79
1903-02-01 00:00:00,26.19
1903-03-01 00:00:00,24.49
1903-04-01 00:00:00,21.79
1903-05-01 00:00:00,17.77
1903-06-01 00:00:00,14.23
1903-07-01 00:00:00,13.79
1903-08-01 00:00:00,15.57
1903-09-01 00:00:00,18.47
1903-10-01 00:00:00,21.99
1903-11-01 00:00:00,25.41
1903-12-01 00:00:00,27.68
1904-01-01 00:00:00,28.17
1904-02-01 00:00:00,26.46
1904-03-01 00:00:00,25.4
1904-04-01 00:00:00,22.11
1904-05-01 00:00:00,18.38
1904-06-01 00:00:00,14.61
1904-07-01 00:00:00,13.64
1904-08-01 00:00:00,15.01
1904-09-01 00:00:00,17.51
1904-10-01 00:00:00,20.92
1904-11-01 00:00:00,25.27
1904-12-01 00:00:00,27.87
1905-01-01 00:00:00,29.22
1905-02-01 00:00:00,28.63
1905-03-01 00:00:00,24.91
1905-04-01 00:00:00,23.09
1905-05-01 00:00:00,18.78
1905-06-01 00:00:00,16.13
1905-07-01 00:00:00,14.68
1905-08-01 00:00:00,15.9
1905-09-01 00:00:00,18.56
1905-10-01 00:00:00,22.54
1905-11-01 00:00:00,24.17
1905-12-01 00:00:00,26.9
1906-01-01 00:00:00,27.11
1906-02-01 00:00:00,26.92
1906-03-01 00:00:00,24.54
1906-04-01 00:00:00,21.16
1906-05-01 00:00:00,17.85
1906-06-01 00:00:00,14.88
1906-07-01 00:00:00,14.06
1906-08-01 00:00:00,15.93
1906-09-01 00:00:00,19.02
1906-10-01 00:00:00,22.99
1906-11-01 00:00:00,24.58
1906-12-01 00:00:00,26.49
1907-01-01 00:00:00,28.22
1907-02-01 00:00:00,26.68
1907-03-01 00:00:00,24.31
1907-04-01 00:00:00,21.55
1907-05-01 00:00:00,17.42
1907-06-01 00:00:00,13.02
1907-07-01 00:00:00,13.28
1907-08-01 00:00:00,14.81
1907-09-01 00:00:00,17.51
