Time,Temperature
1901-01-01 00:00:00,4.04
1901-02-01 00:00:00,0.45
1901-03-01 00:00:00,5.76
1901-04-01 00:00:00,9.03
1901-05-01 00:00:00,9.15
1901-06-01 00:00:00,15.37
1901-07-01 00:00:00,16.34
1901-08-01 00:00:00,15.57
1901-09-01 00:00:00,13.31
1901-10-01 00:00:00,8.58
1901-11-01 00:00:00,3.96
1901-12-01 00:00:00,0.72
1902-01-01 00:00:00,2.54
1902-02-01 00:00:00,5.34
1902-03-01 00:00:00,7.28
1902-04-01 00:00:00,5.5
1902-05-01 00:00:00,12.91
1902-06-01 00:00:00,14.55
1902-07-01 00:00:00,16.4
1902-08-01 00:00:00,15.93
1902-09-01 00:00:00,14.61
1902-10-01 00:00:00,11.23
1902-11-01 00:00:00,5.76
1902-12-01 00:00:00,0.92
1903-01-01 00:00:00,0.55
1903-02-01 00:00:00,3.03
1903-03-01 00:00:00,4.17
1903-04-01 00:00:00,9.66
1903-05-01 00:00:00,12.89
1903-06-01 00:00:00,15.14
1903-07-01 00:00:00,19.14
1903-08-01 00:00:00,17.09
1903-09-01 00:00:00,12.62
1903-10-01 00:00:00,9.69
1903-11-01 00:00:00,4.7
1903-12-01 00:00:00,4.19
1904-01-01 00:00:00,0.45
1904-02-01 00:00:00,3.28
1904-03-01 00:00:00,6.43
1904-04-01 00:00:00,7.18
1904-05-01 00:00:00,12.03
1904-06-01 00:00:00,16.99
1904-07-01 00:00:00,18.74
1904-08-01 00:00:00,16.77
1904-09-01 00:00:00,13.4
1904-10-01 00:00:00,6.44
1904-11-01 00:00:00,4.26
1904-12-01 00:00:00,2.6
1905-01-01 00:00:00,3.07
1905-02-01 00:00:00,2.08
1905-03-01 00:00:00,4.41
1905-04-01 00:00:00,8.07
1905-05-01 00:00:00,12.8
1905-06-01 00:00:00,14.69
1905-07-01 00:00:00,17.21
1905-08-01 00:00:00,17.49
1905-09-01 00:00:00,14.35
1905-10-01 00:00:00,12.08
1905-11-01 00:00:00,7.36
1905-12-01 00:00:00,0.84
1906-01-01 00:00:00,1.65
1906-02-01 00:00:00,0.57
1906-03-01 00:00:00,5.2
1906-04-01 00:00:00,7.81
1906-05-01 00:00:00,12.89
1906-06-01 00:00:00,14.41
1906-07-01 00:00:00,14.93
1906-08-01 00:00:00,16.37
1906-09-01 00:00:00,14.57
1906-10-01 00:00:00,11.6
1906-11-01 00:00:00,5.99
1906-12-01 00:00:00,3.58
1907-01-01 00:00:00,-0.86
