Time,Temperature
1901-01-01 00:00:00,-26.92
1901-02-01 00:00:00,-22.77
1901-03-01 00:00:00,-17.64
1901-04-01 00:00:00,-7.95
1901-05-01 00:00:00,2.01
1901-06-01 00:00:00,10.86
1901-07-01 00:00:00,15.29
1901-08-01 00:00:00,12.33
1901-09-01 00:00:00,5.96
1901-10-01 00:00:00,-6.55
1901-11-01 00:00:00,-19.8
1901-12-01 00:00:00,-25.71
1902-01-01 00:00:00,-25.6
1902-02-01 00:00:00,-19.59
1902-03-01 00:00:00,-15.12
1902-04-01 00:00:00,-5.81
1902-05-01 00:00:00,3.27
1902-06-01 00:00:00,10.94
1902-07-01 00:00:00,15.36
1902-08-01 00:00:00,12.34
1902-09-01 00:00:00,6.04
1902-10-01 00:00:00,-5.33
1902-11-01 00:00:00,-15.23
1902-12-01 00:00:00,-25.21
1903-01-01 00:00:00,-25.51
1903-02-01 00:00:00,-23.68
1903-03-01 00:00:00,-15.38
1903-04-01 00:00:00,-5.98
1903-05-01 00:00:00,3.49
1903-06-01 00:00:00,10.88
1903-07-01 00:00:00,14.25
1903-08-01 00:00:00,12.71
1903-09-01 00:00:00,5.45
1903-10-01 00:00:00,-4.05
1903-11-01 00:00:00,-14.03
1903-12-01 00:00:00,-23.06
1904-01-01 00:00:00,-23.98
1904-02-01 00:00:00,-23.07
1904-03-01 00:00:00,-16.63
1904-04-01 00:00:00,-6.97
1904-05-01 00:00:00,3.21
1904-06-01 00:00:00,10.55
1904-07-01 00:00:00,14.84
1904-08-01 00:00:00,12.28
1904-09-01 00:00:00,6.39
1904-10-01 00:00:00,-3.82
1904-11-01 00:00:00,-16.19
1904-12-01 00:00:00,-23.09
1905-01-01 00:00:00,-27.68
1905-02-01 00:00:00,-25.18
1905-03-01 00:00:00,-14.37
1905-04-01 00:00:00,-3.6
1905-05-01 00:00:00,4.18
1905-06-01 00:00:00,12.51
1905-07-01 00:00:00,14.94
1905-08-01 00:00:00,13.68
1905-09-01 00:00:00,6.15
1905-10-01 00:00:00,-3.52
1905-11-01 00:00:00,-17.93
1905-12-01 00:00:00,-20.41
1906-01-01 00:00:00,-28.25
1906-02-01 00:00:00,-23.72
1906-03-01 00:00:00,-15.39
1906-04-01 00:00:00,-4.73
1906-05-01 00:00:00,3.2
1906-06-01 00:00:00,11.02
1906-07-01 00:00:00,15.13
1906-08-01 00:00:00,12.97
1906-09-01 00:00:00,6.6
1906-10-01 00:00:00,-3.67
1906-11-01 00:00:00,-18.32
1906-12-01 00:00:00,-27.11
1907-01-01 00:00:00,-28.51
1907-02-01 00:00:00,-22.74
1907-03-01 00:00:00,-18.3
1907-04-01 00:00:00,-6.38
1907-05-01 00:00:00,3.84
1907-06-01 00:00:00,11.92
1907-07-01 00:00:00,15.28
1907-08-01 00:00:00,12.62
1907-09-01 00:00:00,6.84
1907-10-01 00:00:00,-3.86
1907-11-01 00:00:00,-17.83
1907-12-01 00:00:00,-25.17
1908-01-01 00:00:00,-27.65
1908-02-01 00:00:00,-23.46
1908-03-01 00:00:00,-18.81
1908-04-01 00:00:00,-6.28
1908-05-01 00:00:00,2.78
1908-06-01 00:00:00,11.25
1908-07-01 00:00:00,15.69
1908-08-01 00:00:00,13.21
1908-09-01 00:00:00,6.58
1908-10-01 00:00:00,-3.26
1908-11-01 00:00:00,-15.65
1908-12-01 00:00:00,-23.16
1909-01-01 00:00:00,-26.24
1909-02-01 00:00:00,-21.63
1909-03-01 00:00:00,-17.61
1909-04-01 00:00:00,-5.76
1909-05-01 00:00:00,3.83
1909-06-01 00:00:00,11.11
1909-07-01 00:00:00,15.89
1909-08-01 00:00:00,13.19
1909-09-01 00:00:00,6.47
1909-10-01 00:00:00,-4.47
1909-11-01 00:00:00,-18.22
1909-12-01 00:00:00,-25.0
1910-01-01 00:00:00,-26.84
1910-02-01 00:00:00,-24.44
1910-03-01 00:00:00,-18.04
1910-04-01 00:00:00,-5.36
1910-05-01 00:00:00,2.86
1910-06-01 00:00:00,11.56
1910-07-01 00:00:00,15.48
1910-08-01 00:00:00,12.67
1910-09-01 00:00:00,5.4
1910-10-01 00:00:00,-3.81
1910-11-01 00:00:00,-14.33
1910-12-01 00:00:00,-23.93
1911-01-01 00:00:00,-25.23
1911-02-01 00:00:00,-25.36
1911-03-01 00:00:00,-18.56
1911-04-01 00:00:00,-5.93
1911-05-01 00:00:00,3.55
1911-06-01 00:00:00,12.01
1911-07-01 00:00:00,14.16
1911-08-01 00:00:00,11.51
1911-09-01 00:00:00,5.63
1911-10-01 00:00:00,-7.77
1911-11-01 00:00:00,-17.41
1911-12-01 00:00:00,-25.52
1912-01-01 00:00:00,-26.89
1912-02-01 00:00:00,-25.33
1912-03-01 00:00:00,-14.47
1912-04-01 00:00:00,-6.38
1912-05-01 00:00:00,2.9
1912-06-01 00:00:00,11.09
1912-07-01 00:00:00,14.62
1912-08-01 00:00:00,12.82
1912-09-01 00:00:00,6.02
1912-10-01 00:00:00,-4.72
1912-11-01 00:00:00,-16.12
1912-12-01 00:00:00,-20.87
1913-01-01 00:00:00,-24.41
1913-02-01 00:00:00,-20.46
1913-03-01 00:00:00,-17.46
1913-04-01 00:00:00,-6.42
1913-05-01 00:00:00,3.91
1913-06-01 00:00:00,11.47
1913-07-01 00:00:00,14.74
1913-08-01 00:00:00,13.05
1913-09-01 00:00:00,6.31
1913-10-01 00:00:00,-4.55
1913-11-01 00:00:00,-18.09
1913-12-01 00:00:00,-22.06
1914-01-01 00:00:00,-28.37
1914-02-01 00:00:00,-23.88
1914-03-01 00:00:00,-17.37
1914-04-01 00:00:00,-5.99
1914-05-01 00:00:00,4.55
1914-06-01 00:00:00,11.84
1914-07-01 00:00:00,15.81
1914-08-01 00:00:00,12.04
1914-09-01 00:00:00,5.66
1914-10-01 00:00:00,-6.42
1914-11-01 00:00:00,-16.82
1914-12-01 00:00:00,-25.88
1915-01-01 00:00:00,-24.83
1915-02-01 00:00:00,-22.68
1915-03-01 00:00:00,-17.5
1915-04-01 00:00:00,-6.96
1915-05-01 00:00:00,2.37
1915-06-01 00:00:00,10.96
1915-07-01 00:00:00,15.03
1915-08-01 00:00:00,12.38
1915-09-01 00:00:00,5.66
1915-10-01 00:00:00,-3.4
1915-11-01 00:00:00,-16.12
1915-12-01 00:00:00,-26.98
1916-01-01 00:00:00,-26.45
1916-02-01 00:00:00,-24.76
1916-03-01 00:00:00,-17.51
1916-04-01 00:00:00,-4.95
1916-05-01 00:00:00,4.09
1916-06-01 00:00:00,11.74
1916-07-01 00:00:00,15.12
1916-08-01 00:00:00,12.25
1916-09-01 00:00:00,6.71
1916-10-01 00:00:00,-4.02
1916-11-01 00:00:00,-15.97
1916-12-01 00:00:00,-22.85
1917-01-01 00:00:00,-24.37
1917-02-01 00:00:00,-23.34
1917-03-01 00:00:00,-15.62
1917-04-01 00:00:00,-5.56
1917-05-01 00:00:00,2.18
1917-06-01 00:00:00,11.38
1917-07-01 00:00:00,14.81
1917-08-01 00:00:00,12.3
1917-09-01 00:00:00,6.52
1917-10-01 00:00:00,-3.51
1917-11-01 00:00:00,-16.5
1917-12-01 00:00:00,-26.41
1918-01-01 00:00:00,-29.38
1918-02-01 00:00:00,-25.59
1918-03-01 00:00:00,-17.79
1918-04-01 00:00:00,-5.59
1918-05-01 00:00:00,2.54
1918-06-01 00:00:00,10.92
1918-07-01 00:00:00,15.22
1918-08-01 00:00:00,13.07
