Temperature - (Celsius),Year,Statistics,Country,ISO3
4.04,1901,Jan Average,Belgium,BEL
0.45,1901,Feb Average,Belgium,BEL
5.76,1901,Mar Average,Belgium,BEL
9.03,1901,Apr Average,Belgium,BEL
9.15,1901,May Average,Belgium,BEL
15.37,1901,Jun Average,Belgium,BEL
16.34,1901,Jul Average,Belgium,BEL
15.57,1901,Aug Average,Belgium,BEL
13.31,1901,Sep Average,Belgium,BEL
8.58,1901,Oct Average,Belgium,BEL
3.96,1901,Nov Average,Belgium,BEL
0.72,1901,Dec Average,Belgium,BEL
2.54,1902,Jan Average,Belgium,BEL
5.34,1902,Feb Average,Belgium,BEL
7.28,1902,Mar Average,Belgium,BEL
5.5,1902,Apr Average,Belgium,BEL
12.91,1902,May Average,Belgium,BEL
14.55,1902,Jun Average,Belgium,BEL
16.4,1902,Jul Average,Belgium,BEL
15.93,1902,Aug Average,Belgium,BEL
14.61,1902,Sep Average,Belgium,BEL
11.23,1902,Oct Average,Belgium,BEL
5.76,1902,Nov Average,Belgium,BEL
0.92,1902,Dec Average,Belgium,BEL
0.55,1903,Jan Average,Belgium,BEL
3.03,1903,Feb Average,Belgium,BEL
4.17,1903,Mar Average,Belgium,BEL
9.66,1903,Apr Average,Belgium,BEL
12.89,1903,May Average,Belgium,BEL
15.14,1903,Jun Average,Belgium,BEL
19.14,1903,Jul Average,Belgium,BEL
17.09,1903,Aug Average,Belgium,BEL
12.62,1903,Sep Average,Belgium,BEL
9.69,1903,Oct Average,Belgium,BEL
4.7,1903,Nov Average,Belgium,BEL
4.19,1903,Dec Average,Belgium,BEL
0.45,1904,Jan Average,Belgium,BEL
3.28,1904,Feb Average,Belgium,BEL
6.43,1904,Mar Average,Belgium,BEL
7.18,1904,Apr Average,Belgium,BEL
12.03,1904,May Average,Belgium,BEL
16.99,1904,Jun Average,Belgium,BEL
18.74,1904,Jul Average,Belgium,BEL
16.77,1904,Aug Average,Belgium,BEL
13.4,1904,Sep Average,Belgium,BEL
6.44,1904,Oct Average,Belgium,BEL
4.26,1904,Nov Average,Belgium,BEL
2.6,1904,Dec Average,Belgium,BEL
3.07,1905,Jan Average,Belgium,BEL
2.08,1905,Feb Average,Belgium,BEL
4.41,1905,Mar Average,Belgium,BEL
8.07,1905,Apr Average,Belgium,BEL
12.8,1905,May Average,Belgium,BEL
14.69,1905,Jun Average,Belgium,BEL
17.21,1905,Jul Average,Belgium,BEL
17.49,1905,Aug Average,Belgium,BEL
14.35,1905,Sep Average,Belgium,BEL
12.08,1905,Oct Average,Belgium,BEL
7.36,1905,Nov Average,Belgium,BEL
0.84,1905,Dec Average,Belgium,BEL
1.65,1906,Jan Average,Belgium,BEL
0.57,1906,Feb Average,Belgium,BEL
5.2,1906,Mar Average,Belgium,BEL
7.81,1906,Apr Average,Belgium,BEL
12.89,1906,May Average,Belgium,BEL
14.41,1906,Jun Average,Belgium,BEL
14.93,1906,Jul Average,Belgium,BEL
16.37,1906,Aug Average,Belgium,BEL
14.57,1906,Sep Average,Belgium,BEL
11.6,1906,Oct Average,Belgium,BEL
5.99,1906,Nov Average,Belgium,BEL
3.58,1906,Dec Average,Belgium,BEL
-0.86,1907,Jan Average,Belgium,BEL
3.53,1907,Feb Average,Belgium,BEL
3.81,1907,Mar Average,Belgium,BEL
6.52,1907,Apr Average,Belgium,BEL
13.62,1907,May Average,Belgium,BEL
16.78,1907,Jun Average,Belgium,BEL
17.26,1907,Jul Average,Belgium,BEL
15.59,1907,Aug Average,Belgium,BEL
13.85,1907,Sep Average,Belgium,BEL
10.28,1907,Oct Average,Belgium,BEL
4.26,1907,Nov Average,Belgium,BEL
1.4,1907,Dec Average,Belgium,BEL
0.66,1908,Jan Average,Belgium,BEL
0.61,1908,Feb Average,Belgium,BEL
3.47,1908,Mar Average,Belgium,BEL
9.25,1908,Apr Average,Belgium,BEL
11.84,1908,May Average,Belgium,BEL
13.65,1908,Jun Average,Belgium,BEL
15.12,1908,Jul Average,Belgium,BEL
16.93,1908,Aug Average,Belgium,BEL
13.43,1908,Sep Average,Belgium,BEL
11.45,1908,Oct Average,Belgium,BEL
3.97,1908,Nov Average,Belgium,BEL
3.42,1908,Dec Average,Belgium,BEL
3.21,1909,Jan Average,Belgium,BEL
4.24,1909,Feb Average,Belgium,BEL
5.67,1909,Mar Average,Belgium,BEL
8.1,1909,Apr Average,Belgium,BEL
12.53,1909,May Average,Belgium,BEL
16.48,1909,Jun Average,Belgium,BEL
15.81,1909,Jul Average,Belgium,BEL
16.63,1909,Aug Average,Belgium,BEL
13.71,1909,Sep Average,Belgium,BEL
11.01,1909,Oct Average,Belgium,BEL
3.89,1909,Nov Average,Belgium,BEL
5.3,1909,Dec Average,Belgium,BEL
0.84,1910,Jan Average,Belgium,BEL
3.6,1910,Feb Average,Belgium,BEL
5.59,1910,Mar Average,Belgium,BEL
7.73,1910,Apr Average,Belgium,BEL
14.0,1910,May Average,Belgium,BEL
15.32,1910,Jun Average,Belgium,BEL
19.58,1910,Jul Average,Belgium,BEL
20.56,1910,Aug Average,Belgium,BEL
15.73,1910,Sep Average,Belgium,BEL
10.74,1910,Oct Average,Belgium,BEL
5.97,1910,Nov Average,Belgium,BEL
5.45,1910,Dec Average,Belgium,BEL
2.07,1911,Jan Average,Belgium,BEL
4.9,1911,Feb Average,Belgium,BEL
7.76,1911,Mar Average,Belgium,BEL
8.65,1911,Apr Average,Belgium,BEL
12.73,1911,May Average,Belgium,BEL
15.58,1911,Jun Average,Belgium,BEL
18.63,1911,Jul Average,Belgium,BEL
14.63,1911,Aug Average,Belgium,BEL
11.0,1911,Sep Average,Belgium,BEL
8.48,1911,Oct Average,Belgium,BEL
4.98,1911,Nov Average,Belgium,BEL
5.59,1911,Dec Average,Belgium,BEL
3.0,1912,Jan Average,Belgium,BEL
3.72,1912,Feb Average,Belgium,BEL
7.44,1912,Mar Average,Belgium,BEL
8.93,1912,Apr Average,Belgium,BEL
13.12,1912,May Average,Belgium,BEL
15.07,1912,Jun Average,Belgium,BEL
15.05,1912,Jul Average,Belgium,BEL
16.03,1912,Aug Average,Belgium,BEL
14.28,1912,Sep Average,Belgium,BEL
11.36,1912,Oct Average,Belgium,BEL
8.51,1912,Nov Average,Belgium,BEL
3.77,1912,Dec Average,Belgium,BEL
-0.6,1913,Jan Average,Belgium,BEL
5.85,1913,Feb Average,Belgium,BEL
6.47,1913,Mar Average,Belgium,BEL
10.88,1913,Apr Average,Belgium,BEL
11.72,1913,May Average,Belgium,BEL
14.73,1913,Jun Average,Belgium,BEL
17.8,1913,Jul Average,Belgium,BEL
18.07,1913,Aug Average,Belgium,BEL
14.04,1913,Sep Average,Belgium,BEL
9.91,1913,Oct Average,Belgium,BEL
5.18,1913,Nov Average,Belgium,BEL
5.25,1913,Dec Average,Belgium,BEL
2.89,1914,Jan Average,Belgium,BEL
3.37,1914,Feb Average,Belgium,BEL
4.31,1914,Mar Average,Belgium,BEL
7.91,1914,Apr Average,Belgium,BEL
13.39,1914,May Average,Belgium,BEL
16.91,1914,Jun Average,Belgium,BEL
16.5,1914,Jul Average,Belgium,BEL
16.28,1914,Aug Average,Belgium,BEL
13.75,1914,Sep Average,Belgium,BEL
8.17,1914,Oct Average,Belgium,BEL
2.98,1914,Nov Average,Belgium,BEL
5.72,1914,Dec Average,Belgium,BEL
6.0,1915,Jan Average,Belgium,BEL
3.27,1915,Feb Average,Belgium,BEL
5.03,1915,Mar Average,Belgium,BEL
9.06,1915,Apr Average,Belgium,BEL
13.56,1915,May Average,Belgium,BEL
12.98,1915,Jun Average,Belgium,BEL
16.06,1915,Jul Average,Belgium,BEL
17.01,1915,Aug Average,Belgium,BEL
13.62,1915,Sep Average,Belgium,BEL
10.49,1915,Oct Average,Belgium,BEL
5.98,1915,Nov Average,Belgium,BEL
3.1,1915,Dec Average,Belgium,BEL
-0.45,1916,Jan Average,Belgium,BEL
-1.44,1916,Feb Average,Belgium,BEL
2.38,1916,Mar Average,Belgium,BEL
5.18,1916,Apr Average,Belgium,BEL
15.38,1916,May Average,Belgium,BEL
18.51,1916,Jun Average,Belgium,BEL
17.48,1916,Jul Average,Belgium,BEL
16.8,1916,Aug Average,Belgium,BEL
15.31,1916,Sep Average,Belgium,BEL
8.39,1916,Oct Average,Belgium,BEL
7.06,1916,Nov Average,Belgium,BEL
0.07,1916,Dec Average,Belgium,BEL
2.74,1917,Jan Average,Belgium,BEL
4.22,1917,Feb Average,Belgium,BEL
5.5,1917,Mar Average,Belgium,BEL
8.58,1917,Apr Average,Belgium,BEL
14.58,1917,May Average,Belgium,BEL
13.98,1917,Jun Average,Belgium,BEL
17.04,1917,Jul Average,Belgium,BEL
17.0,1917,Aug Average,Belgium,BEL
13.81,1917,Sep Average,Belgium,BEL
9.43,1917,Oct Average,Belgium,BEL
4.84,1917,Nov Average,Belgium,BEL
6.16,1917,Dec Average,Belgium,BEL
2.25,1918,Jan Average,Belgium,BEL
1.21,1918,Feb Average,Belgium,BEL
4.68,1918,Mar Average,Belgium,BEL
6.7,1918,Apr Average,Belgium,BEL
13.72,1918,May Average,Belgium,BEL
15.46,1918,Jun Average,Belgium,BEL
14.48,1918,Jul Average,Belgium,BEL
17.13,1918,Aug Average,Belgium,BEL
15.13,1918,Sep Average,Belgium,BEL
7.36,1918,Oct Average,Belgium,BEL
2.57,1918,Nov Average,Belgium,BEL
3.93,1918,Dec Average,Belgium,BEL
4.31,1919,Jan Average,Belgium,BEL
5.62,1919,Feb Average,Belgium,BEL
7.88,1919,Mar Average,Belgium,BEL
9.71,1919,Apr Average,Belgium,BEL
13.91,1919,May Average,Belgium,BEL
15.96,1919,Jun Average,Belgium,BEL
16.97,1919,Jul Average,Belgium,BEL
15.23,1919,Aug Average,Belgium,BEL
13.94,1919,Sep Average,Belgium,BEL
9.29,1919,Oct Average,Belgium,BEL
3.4,1919,Nov Average,Belgium,BEL
2.5,1919,Dec Average,Belgium,BEL
6.15,1920,Jan Average,Belgium,BEL
3.61,1920,Feb Average,Belgium,BEL
7.21,1920,Mar Average,Belgium,BEL
9.14,1920,Apr Average,Belgium,BEL
13.92,1920,May Average,Belgium,BEL
15.56,1920,Jun Average,Belgium,BEL
19.49,1920,Jul Average,Belgium,BEL
17.74,1920,Aug Average,Belgium,BEL
15.11,1920,Sep Average,Belgium,BEL
13.47,1920,Oct Average,Belgium,BEL
1.57,1920,Nov Average,Belgium,BEL
3.19,1920,Dec Average,Belgium,BEL
0.9,1921,Jan Average,Belgium,BEL
2.15,1921,Feb Average,Belgium,BEL
5.04,1921,Mar Average,Belgium,BEL
6.76,1921,Apr Average,Belgium,BEL
14.24,1921,May Average,Belgium,BEL
15.86,1921,Jun Average,Belgium,BEL
15.88,1921,Jul Average,Belgium,BEL
15.79,1921,Aug Average,Belgium,BEL
12.77,1921,Sep Average,Belgium,BEL
6.96,1921,Oct Average,Belgium,BEL
4.57,1921,Nov Average,Belgium,BEL
4.59,1921,Dec Average,Belgium,BEL
3.8,1922,Jan Average,Belgium,BEL
4.02,1922,Feb Average,Belgium,BEL
6.93,1922,Mar Average,Belgium,BEL
8.31,1922,Apr Average,Belgium,BEL
11.29,1922,May Average,Belgium,BEL
12.17,1922,Jun Average,Belgium,BEL
19.39,1922,Jul Average,Belgium,BEL
16.84,1922,Aug Average,Belgium,BEL
13.93,1922,Sep Average,Belgium,BEL
11.33,1922,Oct Average,Belgium,BEL
3.7,1922,Nov Average,Belgium,BEL
1.32,1922,Dec Average,Belgium,BEL
0.84,1923,Jan Average,Belgium,BEL
0.61,1923,Feb Average,Belgium,BEL
4.2,1923,Mar Average,Belgium,BEL
7.44,1923,Apr Average,Belgium,BEL
14.03,1923,May Average,Belgium,BEL
15.51,1923,Jun Average,Belgium,BEL
17.2,1923,Jul Average,Belgium,BEL
14.96,1923,Aug Average,Belgium,BEL
14.38,1923,Sep Average,Belgium,BEL
10.92,1923,Oct Average,Belgium,BEL
5.35,1923,Nov Average,Belgium,BEL
3.79,1923,Dec Average,Belgium,BEL
4.04,1924,Jan Average,Belgium,BEL
5.25,1924,Feb Average,Belgium,BEL
3.63,1924,Mar Average,Belgium,BEL
8.81,1924,Apr Average,Belgium,BEL
14.01,1924,May Average,Belgium,BEL
15.61,1924,Jun Average,Belgium,BEL
18.5,1924,Jul Average,Belgium,BEL
16.96,1924,Aug Average,Belgium,BEL
12.17,1924,Sep Average,Belgium,BEL
10.37,1924,Oct Average,Belgium,BEL
3.36,1924,Nov Average,Belgium,BEL
1.99,1924,Dec Average,Belgium,BEL
2.49,1925,Jan Average,Belgium,BEL
6.84,1925,Feb Average,Belgium,BEL
6.3,1925,Mar Average,Belgium,BEL
10.28,1925,Apr Average,Belgium,BEL
11.11,1925,May Average,Belgium,BEL
14.21,1925,Jun Average,Belgium,BEL
17.5,1925,Jul Average,Belgium,BEL
17.21,1925,Aug Average,Belgium,BEL
15.85,1925,Sep Average,Belgium,BEL
9.08,1925,Oct Average,Belgium,BEL
7.01,1925,Nov Average,Belgium,BEL
2.22,1925,Dec Average,Belgium,BEL
3.74,1926,Jan Average,Belgium,BEL
3.34,1926,Feb Average,Belgium,BEL
7.24,1926,Mar Average,Belgium,BEL
8.48,1926,Apr Average,Belgium,BEL
12.06,1926,May Average,Belgium,BEL
14.15,1926,Jun Average,Belgium,BEL
17.44,1926,Jul Average,Belgium,BEL
17.19,1926,Aug Average,Belgium,BEL
14.34,1926,Sep Average,Belgium,BEL
10.51,1926,Oct Average,Belgium,BEL
4.39,1926,Nov Average,Belgium,BEL
-0.48,1926,Dec Average,Belgium,BEL
3.68,1927,Jan Average,Belgium,BEL
5.02,1927,Feb Average,Belgium,BEL
5.32,1927,Mar Average,Belgium,BEL
8.79,1927,Apr Average,Belgium,BEL
11.15,1927,May Average,Belgium,BEL
14.62,1927,Jun Average,Belgium,BEL
18.4,1927,Jul Average,Belgium,BEL
17.11,1927,Aug Average,Belgium,BEL
13.76,1927,Sep Average,Belgium,BEL
10.18,1927,Oct Average,Belgium,BEL
7.66,1927,Nov Average,Belgium,BEL
2.48,1927,Dec Average,Belgium,BEL
-1.43,1928,Jan Average,Belgium,BEL
-3.83,1928,Feb Average,Belgium,BEL
4.8,1928,Mar Average,Belgium,BEL
5.95,1928,Apr Average,Belgium,BEL
13.21,1928,May Average,Belgium,BEL
14.58,1928,Jun Average,Belgium,BEL
17.99,1928,Jul Average,Belgium,BEL
17.26,1928,Aug Average,Belgium,BEL
17.06,1928,Sep Average,Belgium,BEL
10.6,1928,Oct Average,Belgium,BEL
6.24,1928,Nov Average,Belgium,BEL
5.55,1928,Dec Average,Belgium,BEL
4.99,1929,Jan Average,Belgium,BEL
2.08,1929,Feb Average,Belgium,BEL
5.52,1929,Mar Average,Belgium,BEL
9.43,1929,Apr Average,Belgium,BEL
11.97,1929,May Average,Belgium,BEL
18.05,1929,Jun Average,Belgium,BEL
16.63,1929,Jul Average,Belgium,BEL
17.23,1929,Aug Average,Belgium,BEL
14.38,1929,Sep Average,Belgium,BEL
10.71,1929,Oct Average,Belgium,BEL
7.39,1929,Nov Average,Belgium,BEL
2.66,1929,Dec Average,Belgium,BEL
