Temperature - (Celsius),Year,Statistics,Country,ISO3
-26.92,1901,Jan Average,Russia,RUS
-22.77,1901,Feb Average,Russia,RUS
-17.64,1901,Mar Average,Russia,RUS
-7.95,1901,Apr Average,Russia,RUS
2.01,1901,May Average,Russia,RUS
10.86,1901,Jun Average,Russia,RUS
15.29,1901,Jul Average,Russia,RUS
12.33,1901,Aug Average,Russia,RUS
5.96,1901,Sep Average,Russia,RUS
-6.55,1901,Oct Average,Russia,RUS
-19.8,1901,Nov Average,Russia,RUS
-25.71,1901,Dec Average,Russia,RUS
-25.6,1902,Jan Average,Russia,RUS
-19.59,1902,Feb Average,Russia,RUS
-15.12,1902,Mar Average,Russia,RUS
-5.81,1902,Apr Average,Russia,RUS
3.27,1902,May Average,Russia,RUS
10.94,1902,Jun Average,Russia,RUS
15.36,1902,Jul Average,Russia,RUS
12.34,1902,Aug Average,Russia,RUS
6.04,1902,Sep Average,Russia,RUS
-5.33,1902,Oct Average,Russia,RUS
-15.23,1902,Nov Average,Russia,RUS
-25.21,1902,Dec Average,Russia,RUS
-25.51,1903,Jan Average,Russia,RUS
-23.68,1903,Feb Average,Russia,RUS
-15.38,1903,Mar Average,Russia,RUS
-5.98,1903,Apr Average,Russia,RUS
3.49,1903,May Average,Russia,RUS
10.88,1903,Jun Average,Russia,RUS
14.25,1903,Jul Average,Russia,RUS
12.71,1903,Aug Average,Russia,RUS
5.45,1903,Sep Average,Russia,RUS
-4.05,1903,Oct Average,Russia,RUS
-14.03,1903,Nov Average,Russia,RUS
-23.06,1903,Dec Average,Russia,RUS
-23.98,1904,Jan Average,Russia,RUS
-23.07,1904,Feb Average,Russia,RUS
-16.63,1904,Mar Average,Russia,RUS
-6.97,1904,Apr Average,Russia,RUS
3.21,1904,May Average,Russia,RUS
10.55,1904,Jun Average,Russia,RUS
14.84,1904,Jul Average,Russia,RUS
12.28,1904,Aug Average,Russia,RUS
6.39,1904,Sep Average,Russia,RUS
-3.82,1904,Oct Average,Russia,RUS
-16.19,1904,Nov Average,Russia,RUS
-23.09,1904,Dec Average,Russia,RUS
-27.68,1905,Jan Average,Russia,RUS
-25.18,1905,Feb Average,Russia,RUS
-14.37,1905,Mar Average,Russia,RUS
-3.6,1905,Apr Average,Russia,RUS
4.18,1905,May Average,Russia,RUS
12.51,1905,Jun Average,Russia,RUS
14.94,1905,Jul Average,Russia,RUS
13.68,1905,Aug Average,Russia,RUS
6.15,1905,Sep Average,Russia,RUS
-3.52,1905,Oct Average,Russia,RUS
-17.93,1905,Nov Average,Russia,RUS
-20.41,1905,Dec Average,Russia,RUS
-28.25,1906,Jan Average,Russia,RUS
-23.72,1906,Feb Average,Russia,RUS
-15.39,1906,Mar Average,Russia,RUS
-4.73,1906,Apr Average,Russia,RUS
3.2,1906,May Average,Russia,RUS
11.02,1906,Jun Average,Russia,RUS
15.13,1906,Jul Average,Russia,RUS
12.97,1906,Aug Average,Russia,RUS
6.6,1906,Sep Average,Russia,RUS
-3.67,1906,Oct Average,Russia,RUS
-18.32,1906,Nov Average,Russia,RUS
-27.11,1906,Dec Average,Russia,RUS
-28.51,1907,Jan Average,Russia,RUS
-22.74,1907,Feb Average,Russia,RUS
-18.3,1907,Mar Average,Russia,RUS
-6.38,1907,Apr Average,Russia,RUS
3.84,1907,May Average,Russia,RUS
11.92,1907,Jun Average,Russia,RUS
15.28,1907,Jul Average,Russia,RUS
12.62,1907,Aug Average,Russia,RUS
6.84,1907,Sep Average,Russia,RUS
-3.86,1907,Oct Average,Russia,RUS
-17.83,1907,Nov Average,Russia,RUS
-25.17,1907,Dec Average,Russia,RUS
-27.65,1908,Jan Average,Russia,RUS
-23.46,1908,Feb Average,Russia,RUS
-18.81,1908,Mar Average,Russia,RUS
-6.28,1908,Apr Average,Russia,RUS
2.78,1908,May Average,Russia,RUS
11.25,1908,Jun Average,Russia,RUS
15.69,1908,Jul Average,Russia,RUS
13.21,1908,Aug Average,Russia,RUS
6.58,1908,Sep Average,Russia,RUS
-3.26,1908,Oct Average,Russia,RUS
-15.65,1908,Nov Average,Russia,RUS
-23.16,1908,Dec Average,Russia,RUS
-26.24,1909,Jan Average,Russia,RUS
-21.63,1909,Feb Average,Russia,RUS
-17.61,1909,Mar Average,Russia,RUS
-5.76,1909,Apr Average,Russia,RUS
3.83,1909,May Average,Russia,RUS
11.11,1909,Jun Average,Russia,RUS
15.89,1909,Jul Average,Russia,RUS
13.19,1909,Aug Average,Russia,RUS
6.47,1909,Sep Average,Russia,RUS
-4.47,1909,Oct Average,Russia,RUS
-18.22,1909,Nov Average,Russia,RUS
-25.0,1909,Dec Average,Russia,RUS
-26.84,1910,Jan Average,Russia,RUS
-24.44,1910,Feb Average,Russia,RUS
-18.04,1910,Mar Average,Russia,RUS
-5.36,1910,Apr Average,Russia,RUS
2.86,1910,May Average,Russia,RUS
11.56,1910,Jun Average,Russia,RUS
15.48,1910,Jul Average,Russia,RUS
12.67,1910,Aug Average,Russia,RUS
5.4,1910,Sep Average,Russia,RUS
-3.81,1910,Oct Average,Russia,RUS
-14.33,1910,Nov Average,Russia,RUS
-23.93,1910,Dec Average,Russia,RUS
-25.23,1911,Jan Average,Russia,RUS
